,word,definition
1309,otↄe,deafness stinacy cf ny eho
1310,inyε,nmews iny magi ana v as owa the news cannot be told after we have arrived at home said after arrival something disgraceful has happened on the road inyε n ↄma a na or ↄa instead of ɽ a good news is what one tells ought to tell said to stop somebody from re lating bad news gossip Biblical inyε n ↄma Gospel cf Yor ihi v na ob
1311,inyzegbe,straining in child birth in going to stool cf nyε egbe gb
1312,inyi,the sasswood tree Ery throbhloem macranthum bark used in the sasswood ordeal for witches as medicine for healing wounds and tied over house doors in order to prevent witches from entering inyi is a taboo for witches Occurs in Ibo as well
1313,ipapa,something flat e g food fried in form of a flat cake or ipap onwↄ and wax This seems also to denote a beehive in a tree
1314,iri,x rope ir ifi rope as part of a trap creeper general term w algle
1315,aleke,creeper that the underworld has tied any creeper in the bush that has made a natural knot which is rather rare it is used as a medicine for tying people e for making women stay with their husbands df ri
1316,iriasxwe,envy df ria
1317,exwe,a gang of people at the guae who are in care of a captured leopard part of the fbas sacrifice to his head cf via ekp v gwe oy ohs L enibokii h
1318,iriaixi,revenge cf ria
1319,ixi,eating the parcel of the way embezzlement misappropriation of property entrusted cf ɽe r l oko
1320,odeε,state of disgrace Akugbel of e x oya iro x ridd le
1321,iro,a shining stone said to be spat out by vipers pythons and a variety of crocodile at night in order to attract animals by its light it has magical powers to make a man rich ir ikpi shining stone of a boa v
1322,osumafce,louse
1323,ihaɽo,civilisation lit un folding the eyes cf rha
1324,aro,name of r a river a Bini deity an ihε that seems to be linked with
1325,akeε,spoiling sto mach slight displeasure annoyance ɣεdε irhiazko da a
1326,tε,do not have dis pleasure towards me do not be annoyed with me or look at me with ill feeling used e g by somebody who tries to re concile a man whom he has annoyed irhiaεko is said to be a word that is more in use now adays than before jealousy same as ighawo cf rhi a Re
1327,irhioxuo,taking a woman marriage v irhiↄha cdf
1328,rhie,taking a bride marriage same as irhioxuo D f rhie sha
1329,irhirha,numbness there is a belief that if a man falls on account of it he will die in the same year or at least fall ill u ogie
1330,irhiso,locust Some old people are said to use isiso in quick speech c iso
1331,irho,cheek BD
1332,irhu,shade v gbe
1333,irhuaegbe,also e disciple cf rhua egbe
1334,irhvrht,mildew mould v sil l
1335,irhudtirhdi,nakedness ica we the day after to morrow In native calculation within three days viz to day to morrow and the day after to morrow next to morrow iraxwε uzolane xerhe ithin three days Saturday Thursday This ex pression was said to be used by old people who do not know the Furopean week
1336,icehe,a white button such as is used for shirts worn formerly as walst beads by little girls
1337,iere,arm pit eli mu ↄ ifere something has caught my arm pit i e I have a boil in the arm pit
1338,icewe,the fruit of ↄgↄ used as fish poison it is broken and thrown into the river the fisherman in his canoe then drags the water with a net A fence is made in the water as well because the dying fish try to escape the system of fishing with the help of ifewe is called ho εze lit to wash the river uf icewe nε ra fia i ko n azaya hoↄ εzε have you already cut or broken icewe friend so that we may take it to ash the river
1339,io,main road d wahε songs I cf ugo v arale
1340,ico,x thinking thought idiom ize siGi hire I have for some time z tried to save you from it v be low umakue ifo ɽuε you have not agreed it is your business scil if anything hap pens to you or it is your fault or let it go however it will ifo da n ↄM usxdↄe mma b L the evil thought that is in your mind ex e is not good hope c o bail
1341,irogae,sgl e an age group otu consisting of young boys and men of the age of I years in a small village the age may be even higher because the change over from icoxae to igɣele does not take place often their communal work includes sweeping open spaces cleaning grass carry ing mud for the igy ele formerly also when a Native Administration road was built treading mud with the iyvele helping in house building e g by fetching water and occasion ally clearing big plots of farm land for the most senior edi I v otu
1342,iola,track cut through the bush on which short logs similar to railway sleepers are laid used for hauling logs from the forest to the next river corduroy track a timber expression ef Engl rollar
1343,iofivi,bural d
1344,oɽibi,ocollecting mud in cludes mixing mud for house building cf ɽu ek
1345,icugbs,sacrificing to aJuju ma mu egb icu b we are getting ready to sacrifice to our juju used e g as an excuse for failure to attend to a visitor The last syllable b is usually lengthened and spoken on a oli rising tone which is more polite paganism icuzd day makers a ang of the dba s fixing the date of any event that has hap pened The word occurs in a song v ikede cf u l
1346,gdeε,learning things Xr knowledge lesson d icuεei n uwa ɽu v ow ebe ɽε what lesson have you done at school to day cf
1347,rue,Pl youngest age grade in the Ibiwe society the household society super vising the OJba s harem erie Ds of wu l eriz
1348,iti,disjunctive pronoun of the rd pers pl ifa v ↄge they and he he and he both of them but the latter is also ita veva ia n eva those two
1349,itameε,eaves of a house cf
1350,ame,itaBe a black house ant a little bigger than ehihi one kind of ifadε not so dark lives on the underside of leaves like ilaxwe itaῦ ebo ERuropean itaBε a yellow ant found in sugar v ↄhQ
1351,itaifa,a kind of water plant drifting on the surface of creeks or ponds together with ihuihii it forms the sudd of the creek region it also short ɽε ɽ toε ɽI disjunctive pronoun of the rd pers sgl iɽ v ↄɽe he and he both of them v ifa D d Vitmo tnimmt cloon vowels e q in f dixa d you speak of him do you mean him though ifε uxa seems also possible Another form ifdε is found e in re ported speech ↄw ifↄ wa h he said he i c himsellf sc e g did it in an answer cf ifa v ↄ
1352,ifebi,knowledge cf ɽε
1353,edi,it r hair of body fur of animals cf Yor irii
1354,ifug,dirt ifuε bu gbe v egbh uε dirt is much on your body you are very dirty
1355,ifudu,grass i tudu s gbe v ogbhanal grass grows much in this fenced spot
1356,isa,faeces is hiave faeces of bird a tree Maba chrysantha is ava faeces of thunder an oblong stone balf a foot or a foot long found in the earth on rocky soil or in dead trees struck by lightning mostly in uloko tree thoughithas a different origin there easily breakable cf ava thunderbolt N W Th has long stone axe I t is used for medical pur poses is ogo faeces of old farm land yams growing on abandoned farm because over looked by the farmer uxuwu
1357,isaba,a style of hair dressing worn by women during the fourth or fifth month of preg nancy consists of many small plaits each about as thick as a cigarette v eto
1358,isagele,bullet maker a word occurring in a song the tones are uncertain cf sa
1359,agele,another name for
1360,eferhinyε,tapioca sago
1361,isahε,key rh isih g E ya ki Rkpεti give me the key to open the box cf Port chave
1362,isamg,baptism cf sa
1363,ame,the groundnut Arachus hypogoea
1364,ise,pointed sticks used as nails in house building they are passed through the roof thatch which is laid like a saddle over
1365,okpo,x shilling silver cf Engl shilling isele a dance of Jekri origin
1366,isε,x formula of confirmation used at the end of a prayer or blessing amen
1367,is,x seeds of oti and several other trees including
1368,ekasa,and Ovia societies Any rattle is called
1369,isε,leaves which is called
1370,ggwε,uko ise The noise is made by this net there are no seeds inside the calabash isε n ata seed guessing a game in which a man hides some seeds in his hands and asks somebody else to guess the number The answers may be ↄkpa an odd number izu an even number ↄyↄ more than seven or ihoi empty Grains must be paid for wrong answers according to fixed rules Other terms used in the game are ovi akadudu andogie n εv licox J is n ava seed throwing a game played with seeds that are thrown up from the palm of the hand caught with the back of the hand first and finally caught again with the palm If one or more seeds drop during this performance the opponent gets the lot if nothing drops the opponent must pay t is played by the players in turn is five isε nya ugiel istnya ogba c usi
1371,isegwε,gravelly soll
1372,isexrgwε,a kind of ikpogi the fruit is dark green not a climbing plant v o i
1373,isckirni,the Jekri people v IweɽE l
1374,isekpoki,sgl ↄ a working gang of the O ba s leather workers lit sewers of leather boxes they work for private individuals as well cf se
1375,gkpoki,a village town or country where one does not live e g isi vo the other villages abroad isi vo okpia na ke re this man has come from another village i e is not a native of this village rest or sleeping quarters of a traveller isi base of a tree i e the surrounding space as far as the seeds or fruit of the tree fall also isi erha cf Is iloko v zi
1376,isi,name of a group of villages between the Eh and Agbo roads said to be the place from which the cult of the god
1377,akeq,started isiamg drawing water also called ame nasi rain making There are no par ticular rain makers and it can be performed by anybody who knows the leaves of which the charm is composed and the procedure of rain making I f a village wants rain it calls for some expert Rain making is occasionally employed with malicious purposes e Q in order to spoil the thanksgiving pro cession of a new chief or a man s house building cf si
1378,ame,bhauling timber logs along the track to a river where they are left to drift down stream cf si erha Isiεvoεno pl watchers of things bodyguard of the dba when he goes to an ugie they also played the main role among the oxi as they carry charmed bows arrows and guns this bodyguard con sists of members of a sib of the same name that has its centre on the right side of Sakpoba Road in Benin City the senior is chief Ekegbia their morn ing greeting is la tↄ sε c si
1379,cro,isiguabↄ a game similar to ise n ava but the seeds are Loo thrown from the inside bend of the elbow to the palm of the hand counting follows the rules ise n ata and ise n ava T of igwe s wi h d base of the Iroko tree name of a village on the Onwena Ogudna river terminus of a road Siluko cf isi l iloko
1380,isiokuo,drawing war an ugie at which Ogii the god of war Is worshipped t in cludes a procession of warriors headed by the ba through the streets of Benin City and the ceremony called amufi it is no longer performed now cf
1381,si,a gang of women supplying the threads on which uma n agwε small iron charms worn by everybody abstaining from new yam d uring
1382,agwe,sky iso n orhd sky of the wet season used as a term of comparison for some thing white perhaps the clouds are the tertium comparationis sfua v iso n orh it is white like the sky of W wet season The term is also used as a praise name of the present dba Akεzua n iso n orhↄ
1383,akenzua,a deep muscle abscess affects elderly and old people only
1384,iso,procession accompany ing okf and ot through the streets as part of the cere mony of the second burial
1385,isok,contentment isskE o ee n ↄ wWwa content ment is a great gain
1386,isatε,rebellion cf sotε Yor ifatε atε
1387,isu,in ig isu interest v
1388,ivo,to lead because some additional money is led back to the giver of a loan on interest
1389,isue,a black hairy worm or caterpillar bigger than ara about aninch long it causes whitlow on feet and fingers when touched whitlow brought forth by the preceding if not attended to it develops into a more serious affection called
1390,agadisoso,when on a foot or atowoↄ J when on the fingers
1391,isuma,a secret or private talk or agreement isum LXoxo bholding a private secret council conspiracy Akugbe cf sε l uma
1392,isusu,trouble mainly from spirits but also trouble arising from people if it is very serious ↄ isusu a troublesome and wicked man who offends everybody and does not fear anything he is thought to be driven by evil spirits evil spirits also εɽivi da They are kept away from a village by means of a IoI charm composed of things be lieved to be taboo to them called ebin ayab isusul things that are used to push the isusu l e to drive them away it is tied to a stick outside the village v bi a curse isusu d ala wue gbe Iit trouble or evil spirits it is that may enter you much or possibly your body w ukpokpo
1393,gber,x proverb story mainly exemplifying a pro verb meaning or moral contained in a proverb ita ɽε itsmeaning history with an application for life with a moral cf Yor ita v ive J fi ita feather ordeal was mainly used to detect adultery but also for theft a feather was stuck into the defendant s tongue and when it was difficult to pull it out again i e when there was a pause the woman was guilty idiom itaA ya gba the ordeal feather is stuck used when there is a slight confusion and consequently a pause e g in writing a letter or in talking when the ideas present them selves too quickly to be ex pressed in due order
1394,itaba,tobacco tabaco v egbↄɣ
1395,itakpa,the Nupe people c Yor takpa h
1396,itaxuε,material formerly used as uke the pad used in hair dressing it is obtained from the plantain bark used also as a kind of sponge for rubbing dↄl walls and floors of houses for that purpose it is cf Port dipped in water that has been mixed with mud
1397,ite,continued menstrua tion a parrot s disease hindering the development of its red tail feather ebaxuε
1398,itegbemu,pride in a bad sense cf t egbe mu v iGaegbe uhi c
1399,itehie,a very small kind of tomato said to taste bitter and believed to originate from the faeces of the birds asεsε and
1400,esikpoɣo,tree felling used by timbermen cf t erha
1401,itebite,also e for ever Oxodua kev Osanobu itεbitε u God Almighty and Everlasting Akugbe
1402,itie,calling i e saying the
1403,ogwega,divination solu tions as contrasted to their analysis and explanation eria ria of tie
1404,itiebe,reading lit book calling cf tie ebe itizz law suit calling bringing in a summons cd tie v ixo
1405,itile,betting cf ta
1406,ile,pity cf toha
1407,itohia,gulnea worm
1408,itokd,r measuring timber logs with a rope plural of
1409,stok,buttocks c tota v ikebe
1410,itoto,a kind of cane root is used as a medicine and also as a magic preparation for making one s body smooth and fleshy esp for the dba Io
1411,itue,a tree Harungana mada gascartensis said to be found on old farms i e spots where there was once a farm ogo only contains a red latex
1412,ive,promise to give some thing cf ve l
1413,ivi,qx palm kernels coco nuts ivi eva two kernels twins dreaded at Us only us ivi eva a N se have you born reached twins ivi eha triplets
1414,ivie,beads ivi ebo European beads coral beads much used in the dba s dress v
1415,ede,small beads ivie n ikↄkↄ sgl n ↄk large beads ivi aweε coral anklet worn by the J ba and chiefs L R p xo
1416,ivu,seed yam wWhen sown and in the ground cf d ivu v ighi ive L a proverb given as a hint in conversation allusion ↄf ita f ive me he dropped me a hint with a proverb ita cf Yor owe
1417,ivi,scrotum vi eze a sib the founder of which was a man named Ogbε
1418,doyo,in the present Agbor Division of Benin Province i c from Eka Ibo terri tory during the reign of the Jdba
1419,dsεveda,loneliness iviero loneliness is reigning time of the fiercest heat between two and four o clock when everybody has retired into his house this is one of the best times for thieves During this time the antelope erhuε may be met with coming out to eat ocro cf vie LG
1420,ivickpo,a snake short simi lar to a viper and of the same colour as a viper jumps poison ous v rnyε
1421,ivacgbe,self conceit cf ma egbe v itkcbemul
1422,uhiodε,ten in the following com positions only iw eva twelve iw eɽa thirteen iw enε fourteen cf igbe iw bousehold society at the guae iIn Iw ebo another society of the three main societies it is concerned with the ba s dresses the senior chiefs are Unwagwsε and cibo theyoung people in it who have not yet any title are called ibifruwa as in Iw εguae iw egiε the dba s defensive charmers or evil wishers against his private enemipes implicators a divi sion of the ewaisε iw
1423,ehε,a division of the dba s ewaisε they take care of some of his charms Iw εguae society of the guae one of the three main household societiefs it contwlns the personal servants of tue Nba all the emada belong to them the young people at the Iw εguae are Io called ibi ruɣ a like those in the Iw ebo and Ib iwe senior chiefs of this society are
1424,eseɽe,and bazenu iwoki a gang of people living on the right side of I k poba Road they sew leather boxes v isekpoki during eclipses of the moon they per form some sacrifices which were believed only some old people believe in it nowadays to have the effect of restoring the moon for eclipses were believed to fore stall evil This performance is called dsl uki yi to repair the moon For the missing vowel in iw cf Ibiwe perhaps the heading should be iwe iwak iwaak greed covetous ness cf wo ak v iwaɽo
1425,iwacɽo,greedy snatching away what does not really belong to one taking food that is not on one s own side of the plate Pidgin fitihae fitting eye or trongahae strong eye cf wo aɽ v
1426,iwaks,anything changing periodically e g qɽ shedding leaves of deciduous trees most trees except oviaxε and udi shed their leaves phase of the moon occasional lean ness of human beings u r iwe iw oki
1427,iwerd,another name for the Jekri people v Isεkiri
1428,iweo,X sense e g in knowing one s duties common sense iweε ↄmbd na mahesε n Wavarhi gre the sense of this child is not yet sufficient that I may take him viz with me on a certain enter prise wisdom in judging a palaver iwsfo seems mainly to refer to the sense of j ustice pPl wise sensible people cf wo
1429,iwowo,thin planks used in building the walls of a shack v owa iwu tribal marks men have seven iwu not including the face marks on the forehead v
1430,ixaro,marks of the middle of the chest one on each side iw ugbefε rib marks one on each side a long mark stretching from under the shoulder along the ribs to the loins more side wards than ov iwu iwu
1431,iyeke,back marks one on each side starts from the beginning of the upper arm and goes along the back to the thigh v ov iwu v ovi o e mark along the left side of the body abεrhε mark on the abdomen Women are said to have all these marks doubled so that they have fourteen marks altogether at Usε only the women are said to have the same marks as the men Her e as well the marks on the fore head urεbo are not in cluded wv ur εɣele mot tribal marks l iwu progeny of the first generation child children also sm iwu eyε ihi hiε l sakpaɽ sodi ɣabi na J
1432,iwuyεovee,nice appearance iwuyεvε fuε yε oε ghe Io your appearance pleases me very much attracts me cf yε
1433,ixa,bad smell used as a com plement of the verb wia In human beings it is attributed to the individual not having been properly washed after his birth it also refers to the smell of some animals e g the rat
1434,oxxa,tribal marks on the forehead used by men a vanish Ing custom and women cf aɽo L v iwuz
1435,ii,revenge cf iriaixi v ria
1436,ixia,transformation spec into an animal etc by magic ixia m oha gbe transformation is terrible frightens much cf ia
1437,ixiavo,Ocro Hibiscus escu lentus the best species is ixiav
1438,eovu,mist ocro i e ocro planted during the time when mist falls from September to February Probably of foreign Port origin w oↄwɽa
1439,ohukpb,mourning affliction Akugbe but there written without the e following ixiε ixieegbe kev irioya ɽuε a y wour affliction and disgraced state Akugbe cf ie
1440,egbe,a tree Newboul dia lacvis it is believed to be the oldest tree in the world planted as inyat at every newly founded village or camp agd D and used in the composi tion of the shrines of all the gods but not of erha and iye
1441,ixo,x blood letting a piece of cotton which has been soaked in oil is lit inside a special kind of calabash called uko n aya mu ixo calabash used Afor blood letting and a cut is made from which the blood is to be drawn mainly in the thigh the calabash is tightly pressed on this cut and when the light goes out it sticks to the spot and draws the blood Used as a remedy for reducing swellings and muscle pains a mark on the forehead that for merly was a sign of a free born man also ix aɽo tone only few people have it now adays it is still a little more frequent among Binis from Akure and Ishan people
1442,iu,country made farmer s matchet billhook any matchet may be called ixu when used in farming
1443,ixuε,names of two Bini villages seats of Nxwahe Ah shrines there is Ixu ε n iro and Ixo ovi ↄbo lit Ixu of the doctor s child
1444,iuiwu,hatred iuiwu bii ε
1445,gbe,hatred is too much with you you are too full of hatred iy score twenty in connec tion with following numerals only iy eva two score forty iy eha three score sixty iy enε four score eighty iy is five score a hundred iy iy eha three score times three score St Mark
1446,iya,an exclamation of annoy ance used by boys e when attacked by a younger brother Ios but forbidden to strike back or when bullied by a stronger boy iya uvede oh are you coming again cf Yor iya
1447,iva,ditch the term in cludes natural cavities similar to aditch the big ditch and wall round Benin City said to be built by the dba Ogusla Egh Hist pp
1448,lyabↄ,forgiveness cf ya
1449,obo,iyabↄ bail security ↄmi gɽε v iyabↄ he took him S lit in security he took him to stand bail for him miε ya oba l
1450,iyama,mark of owner ship or identification e Q a mark made on one s yam or a sign by which one knows a certain man scar cicatrice cf ama
1451,iyare,welcome home said to a warrior returning from war or to a man returning from a Journey it was interpreted as gsafe arrival v gbe Also used as a name cf re iyarha e slave idiematic expression cf ya rhawe RiG
1452,iyase,the Iyashere one of the most important chiefs of the Bini people head of the Exaεvo N oɽe and chief war lord
1453,iyayi,fourh iyayi εɽe ma s ↄῦ ↄkd DJ his faith does not Lena me content his faith does not inspire me with confidence said e Q of a Christian who is still adhering to heathen practices cf ya
1454,yi,mother iy uε your mother sgl iy ua your
1455,lyeke,Io mother pl iy odede grandmother paternal and ma ternal iye odede my grandmother iy erha fa ther s mother or ive n ↄbi erha l mother who has borne the father paternal grand mother iy iye or iye n ↄb iye p maternal grand mother iy a ῦa aman s mother in law also iy dLOXA BE my mother in law iy
1456,sba,mother of the dba the Queen mother who resides at Uselu f orbhu iyv owa mother of the house the woman who is in charge of a household i e ecither the house owner s mother or if she is dead his senior wife iye n agbs lit mother of this world mistress lover iy gɽivi also oded gfivi mother of the dead or of the Juju title of the senior man in the dvia society v ekeze Idiom mu ↄmo y egb iy εe lit to take a child to its mother s body e on her lap to end a matter by putting things where they be long cf iyeye eyeye r back of body back of something of part of body behind iyvek obo back of the hand iyek owe upper side of the foot iyek owa back of the house back yard latrine behind the house iyek ogbe male servants quarter in the compound iyek
1457,ikpoba,name of the neighbourhood behind the river Ikpobal iyek iyeke backwards iyek iyeke slax e backwards he is golng along wv igbuzεbu L acurse iyek iyeke ude ɣe ore ude ɣe backward you may fall con tinuously i e may vyou be come poorer and poorer sink lower and lower
1458,iyerhε,setting fire time of burning the undergrowth on a clearing previous to making a farm iyerhε sε nε h has the time for buming the farm land already come cf ya erhε
1459,iyeye,a rich woman without children a kind of nickname cf iye
1460,iyε,aninsect found on chickens
1461,iyegbu,powdered form of
1462,ulbdka,corn cake care has to be taken in eating it to prevent it getting into the trachea
1463,lyi,rule made by some group e g those applying in a so ciety iyi na oyɣ agbhↄ hia no L this rule is of all the world this rule applies to everybody
1464,iyobs,help ivob esi urhie m
1465,na,r i good help you have given me this you have helped me well iyobↄ n urhie mε na ke ghbe N N the help you gave me now lit this is very suitable your help is just in time cf ya l
1466,obb,going road help in childbirth cf yo odε
1467,ivoxo,x coco yam iyox
1468,ot,coco yam of the ground lily is planted in pots at the shrines of Osii iyox εzε coco yam of river a tree Rinorea elliotiii wood is flexible and used for constructing traps it is also put in crocodile s mouths in order to prevent them from biting as it Is very tough Then they are no longer dangerous and can be tied with ropes
1469,iyↄha,pawn human beings can be pawned as well as things the pawned person hav ing to serve the creditor until the debt is paid This service does not reduce the amount of the debt but only serves to quench the creditor s anger Being pawned is not tanta mount to slavery as the victim may leave the creditor if badly treated the blossom of the
1470,ikposa,tree it plays a role in a children s play if an iyↄha blossom drops from the tree children pick it up and offer it to a friend he is then reminded by the words imu iysha y uↄ bↄ I have put a pawn into your hands and must pay seven palm kemels forit cf Yor iwbfa iy ↄy x bushy end of things iyↄy ↄka tassel of corn maize tail iyↄy εsi horse tail fringe in iyↄy
1471,gde,fringe of native crown cf yayↄyo l
1472,izabb,shoulder c abↄ
1473,izaduma,a drum shaped like em εdo being played when chiefs were sent on errands by the ba or when they went round the country requisitioning goods
1474,izagodo,empty kerosene tin cf Yor jagodo
1475,izagbedε,a dance mostly danced by the iwele and Ioy
1476,icoɣae,age classes but also by women Yor ema
1477,izaxwe,a ceremony that is part of the second burial it takes place two days before the isot procession with the ot a goat is killed at the gate of the deceased s house and afterwards there is a dance through the town during which the arms of the deceased s oldest son are supported by men The
1478,emota,is visited and given chalk and cowries v ikpawia uko arha
1479,izazako,a red antelope said to be as fast as a hare it is believed to run continuously on some days and only to walk on others ize n ↄfua white ize a kind of small crawfish found in rivers it is used in soups cf Jekri ide
1480,izevudu,being hard in the heart or entrails obstinacy dVv izevudu nↄ he is an obstinate man cf ze v udu l
1481,ize,a tree Treculia africana the fruit is big and round and contains big seeds rice v
1482,evoxo,FEuro pean ize rice iz eni elephant iz a tree Allan blackia floribunda the fruit is long and similar to a cucumber eaten by porcupines which therefore can be killed near these trees at night the wood is used as firewood only The tree is also called izↄxaε porcupine iz cf smiz
1483,izexede,open shelter con sisting of four poles and a roof or a house the walls of which are not yet built or a primitive Juju shrine that is open at the sides
1484,iziegbe,endurance cf
1485,egbe,murderer iz ga r od n uwa rie ni there Is a murderer on that road where you are going cf d izia
1486,izobo,feeding evil spirits witches or the Og ii and Osii Akε or any j uju of other people in case their in fluence troubles the giver of izobo it is impossible to give this offering to one s own Ogii Osi etc The izzbo may be given as a measure of defence as well as in order to injure somebody t is done at the junction of roads e g at that of the roads leading to Siluko and kεhua In one s own backyard or in stil other places The food iIs prepared at home and by private individuals there is no slaughtering asin areal sacrifice only a chicken may be given and that is killed at home wv
1487,ewa,anger provocation Akugbe ↄ B izohuTens he is a man of my provoca tion he is a man that annoys me cf zz ohu
1488,izyinyavaxe,taking yam out of the pot taking a dead child out of the womb v
1489,ogida,a modern word European week same as uzsla
1490,izu,even number ↄkpa Io
1491,izunu,grumbling about food one dislikes and refusing it cf
1492,z,kX an element of word formation used in reduplications it con veys a generalising idea e g k exoek exoe exdek exde with all one s mind Akugbe from exↄe mind k ↄdaik ↄ ῦa and S every body from ↄ ῦa man cf k ugbaik ɣ e and Yoruba formations like enikeni ka I Lh to confess an evil deed especially witchcraft and similar harmful practices oxuo na ka this woman is confessing y a misdeed but for adultery v bu ka to dry intrans erhd na vwaka akeyae nwina this wood shall dry before start Ing to work with it erha na kae this wood is dry cf kaka I kae ka to buy ot used of oil only of beverages yak anyↄ n ↄrhierhiε re or gw oE lJ go and buy sweet or palatable wine for me lit and come the syllable k a is rather long ka to count ka limei ni n uta ma ῦ ilu n ↄ R count those oranges so that you can tell me how many they are ka y to repeat the formula of an oath ka y ↄ v en ↄɣav ↄε he sYS repeat the formula as he will or shall swear it k iɣ to count money to reckon to judge the worth of something cf Yor ka
1493,ka,fua to expel somebody out of the guae for an offence
1494,a,Dbare eflovie y ot e ka hNo don t sleep on the bare ground cf keka l
1495,ka,an auxiliary verb in dicating that the subject is first in performing the action ex pressed by the main verb i ɽ ↄῦB okao n ↄhanwina ε ima be was the first among us to finish the work AJit he is the first man who first worked waiting for us ɽ is not nasalised Ozo kaxia nε Ojo is going as the first
1496,kada,formula of glving thanks to the host after a meal used by men also used as a salute to somebody who has sneezed k adesε cf ke J kae I bA gpunsel to purity the mouth i e to purify one self after eating something that is taboo v wua kae to dress or to smoothen wood by means of a matchet ka erha na papaapa make this piece of wood fat to cry of a squirrel similarity with the noise made by dressing wood kae to dry ika ukp na Iam drying or I dried this cloth cf kakaz ka z kaε to build e g a box door table etc mainly wooden things ka εkpεti na me build this box for me make a box out of this e g out of a packing case l tonalil y ise ka εkpεti na me nail this box for me kaε mu erha ugbugbe to crucify Iog Bibl not of sacrificial cruci fication to cover roof with wood and corrugated iron v ekpamaku cf Yor
1497,ka,fill this pipe to load of gun ka o sisi na ma load me this gun kaε to touch ↄy ob ↄ ka fε he took hand touchedit f Yor ka kaε in ka xks to be a messenger to the Ooba col lecting tribute in the country those messengers used to op press the countryside a good deal hence b to annoy some body by giving him unwanted advice in the form of reproaches to pester wɣeεɣiIki o uk ↄ don t pester me any more
1498,kagukagti,lean used with the verb ye f g kaa for other degrees of leanness in a descending scale wv giJkas siggsig rhiamarhiama sigosigo simosimo kaka todry to be dry in trans used of leaves e g hence it is a plural form cf ka kaka to be hard εfkpede n kakae a cross bow that is difficult to tend occurs in a proverb kikaaka tightly firmly tied v ki kikaaka describes a very profound darkness ebiebi sO
1499,kaikaaka,it was ver dark ame bi kakaaka the sky is very dark lit the water i e the sky before a rain nununu
1500,kakabs,to do properly kakab gb εɽ asa flog whip him properly I k anys f ka
1501,kava,to be small short ov uε na kava gbe this your child is too or wery smalll cf ukavave ke to be near this verb is used a good deal for indicating local relationship e Q k ades to be near the middle ikpihizbs n ↄk adese the middle finger k eῦa L O J to be near here n ↄk eῦa the nefarest one k od aɽo to be in front ik od aɽo nε I preceded him k od to be near there n ↄk od which is near over there i e the furthermost of some objects k otↄ to be nethermost k uxuvu to be uppermost ukpu na k uxudu n evifebo this cup is on top of the plate v dia ke an auxiliary that I links up events and then skeɽu εe and then he did it it is often used with a tfollowing wUi but also with a ↄkegɣaɽu e and he was doing it same as ske diru shegicuce and then he did it same as skeɽu εe and with ve skeve vu εe and he did it withlow tone before e g imi tighugbεhia dↄkekpa J I always see him before he leaves ke x to come from a certain Place εdo ike de from Benin it is that I am coming sk uw owa ɣade he is coming out of the house z Lro trom k eva y ari do ibirik i is nya Iev np from here to Beninis miles since in k eva w ax ia since that time lit from there going ke r to be suitable it is used impersonally with a follow Ing subjunctive introduced by n and conveys something like the idea of the English ought to oↄkere n aɽ ῦi n ↄwiri A Uit is suitable that one should know the thing that Is lost one ought to know what is lost to put some thing in the right position so that it does not fall to support k axe ni fse put this pot In a safe position k ewu to put three stones up as a support for a cooking pot to prepare a place for cooking imi ↄε v ↄkewu v ge n inay eva I saw him preparing a cooking place at the time when I went there ma or cd
1502,ikewu,to rest gu oe k εti xerhe g let me rest a little v ko εti
1503,et,in ke ikia to be the result of something dsk εr ikia it results from it
1504,keke,to push in a crowd to Jostle w εkeke hB don t push me J keke oε he pushed me v rua sua e k es ↄgba twenty five remain five to thirty by young people isε nya ugie five above twenty is used cf ke e k es ugie fifteen something like remain five to twenty cf ke r kok
1505,keve,a conjunction linking up nouns and pronouns and Ozo kev aῦ dɽε xiad sisiCusi Ojo and his wife have gone since some time cf
1506,ke,and ke k ewu cf ke ke r toremain to be left also
1507,ke,re ema ni ke re that fufu is left ower remains ke erhe ke erhe nearly lit remains little df Pidgin lef small εdε ke re o an old greeting used by old men and chiefs its being obsolete making it the more distinguished good night day is left viz a little The numbers beginning with e k as e g e kesugie e kigbesiyisε seem to be derived from sentences like it remains five reach sε twenty it remains ten reach a hundred ke X to be uick ↄka tueε gbe it is too uick o with you you do it too quickly obↄ kεare v inwina ni nε has the hand been quick in that work already iIs that work already finished short oba kε nε ɽwa N D This phrase is used when asking in the presence of strangers whether food has already been prepared a more direct re terence to food would be im polite it is used in a causative sense meaning some thing like to hurry somebody in the following construction dsk ↄe ru εe nf makes eva sε D N it hur ed him on to do it already and LII then we arrived there he had already done it when we arrved there v da to do something out of ome s own accord in the phrase ↄwaksεBe lit if there is time it is used to qualify a statement about something happening in the future probably perhaps v aa ↄɣakee ↄɣ are axwH he will probably come to morrow k εbↄ cf ks
1508,keeke,with together with eni k ek ak r hy h g the elephant together with its teeth v Uke keve arhuaɽo k εhi cf ka
1509,keka,r bare y owε kεka ɣa come with bare feet in vain empty ineffective edi kεka noↄ lit it is a vain thing said e g of somebody s intrigues which the speaker thinks to be harm less and negligible oↄgua ε ε
1510,keka,bhe is talking empty words word of mouth i e he has no power to do anything only ↄkpa k ka one only c ka
